epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,651.572,0.74104,0.52423,0.94938,0.99483,1,0.99494,0.88594,0.57224,0.41801,0.83109,0.000834822,0.000834822,0.000834822
44,666.739,0.71748,0.50834,0.95335,0.99322,1,0.99458,0.86867,0.6041,0.44888,0.83711,0.000820675,0.000820675,0.000820675
45,681.756,0.72693,0.52787,0.96836,0.99321,1,0.99473,0.87392,0.6059,0.45335,0.83984,0.000806528,0.000806528,0.000806528
46,697.207,0.74564,0.54647,0.96266,0.99452,1,0.99494,0.87659,0.57386,0.43385,0.83482,0.00079238,0.00079238,0.00079238
47,712.055,0.70981,0.51166,0.94011,0.99544,1,0.99488,0.87682,0.59518,0.42634,0.83328,0.000778233,0.000778233,0.000778233
48,726.965,0.71169,0.48681,0.93394,0.9948,1,0.99498,0.8981,0.53605,0.39092,0.8221,0.000764086,0.000764086,0.000764086
49,742.063,0.73059,0.50914,0.93326,0.99552,1,0.995,0.87782,0.57783,0.40369,0.83053,0.000749939,0.000749939,0.000749939
50,757.442,0.73027,0.48981,0.94218,0.99526,1,0.99498,0.88369,0.5449,0.39386,0.82201,0.000735792,0.000735792,0.000735792
51,772.426,0.69997,0.49393,0.93668,0.99565,1,0.99481,0.87944,0.55626,0.39586,0.8233,0.000721645,0.000721645,0.000721645
52,787.419,0.68328,0.48926,0.92776,0.99487,1,0.99404,0.89205,0.54679,0.39064,0.82246,0.000707498,0.000707498,0.000707498
53,802.464,0.69601,0.48993,0.94,0.99502,1,0.99408,0.86972,0.58015,0.40252,0.82577,0.000693351,0.000693351,0.000693351
54,817.534,0.68701,0.47905,0.9325,0.99553,1,0.99444,0.87176,0.58115,0.40141,0.82672,0.000679204,0.000679204,0.000679204
55,832.382,0.70599,0.48912,0.93854,0.99569,1,0.9936,0.88282,0.54255,0.39744,0.81899,0.000665057,0.000665057,0.000665057
56,847.586,0.65708,0.46754,0.93194,0.99439,0.9982,0.99315,0.88496,0.55341,0.39042,0.82111,0.000650909,0.000650909,0.000650909
57,863.136,0.65676,0.45299,0.91732,0.99534,1,0.99404,0.89276,0.55922,0.38632,0.82275,0.000636762,0.000636762,0.000636762
