epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.1787,1.34541,11.5101,1.47021,0.3918,0.87131,0.80643,0.52257,1.52343,5.08496,1.35495,0,0,0
2,2.67464,1.62538,6.0532,1.7117,0.96475,1,0.995,0.598,1.47762,4.66972,1.35353,1.9802e-05,1.9802e-05,1.9802e-05
3,4.07571,1.39622,4.65254,1.68339,0.9555,1,0.995,0.64725,1.40601,4.26892,1.33244,3.9208e-05,3.9208e-05,3.9208e-05
4,5.46813,1.11801,4.10598,1.23216,0.95835,1,0.995,0.664,1.24939,3.64611,1.30506,5.8218e-05,5.8218e-05,5.8218e-05
5,6.84957,1.88195,4.84927,1.9476,0.95835,1,0.995,0.664,1.24939,3.64611,1.30506,7.6832e-05,7.6832e-05,7.6832e-05
6,8.25045,1.26469,5.25051,1.70913,0.9681,1,0.995,0.6535,1.27338,3.63765,1.33185,9.505e-05,9.505e-05,9.505e-05
7,9.41417,0.92924,3.37652,1.27305,0.9681,1,0.995,0.6535,1.27338,3.63765,1.33185,0.000112872,0.000112872,0.000112872
8,10.7573,0.70344,3.19017,1.06317,0.90833,1,0.995,0.6975,1.20704,3.44527,1.38489,0.000130298,0.000130298,0.000130298
9,12.151,1.09967,5.31709,1.06889,0.90833,1,0.995,0.6975,1.20704,3.44527,1.38489,0.000147328,0.000147328,0.000147328
10,13.681,0.9192,4.78694,0.96833,0.96481,1,0.995,0.66855,1.38976,3.67128,1.53707,0.000163962,0.000163962,0.000163962
11,14.8796,1.21786,2.84273,1.41857,0.96481,1,0.995,0.66855,1.38976,3.67128,1.53707,0.0001802,0.0001802,0.0001802
12,16.2519,0.83747,3.87879,1.10081,0.96481,1,0.995,0.66855,1.38976,3.67128,1.53707,0.000196042,0.000196042,0.000196042
