epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5829,1.75719,6.53576,1.56952,0.87583,0.98648,0.90192,0.54254,1.4413,3.2459,1.42655,0.000658333,0.000658333,0.000658333
2,24.7804,1.18064,3.59039,1.17498,0.83903,0.99301,0.94342,0.74458,1.0538,2.51704,1.16608,0.00131188,0.00131188,0.00131188
3,36.9497,1.28984,3.11865,1.19308,0.01052,0.72028,0.01081,0.00638,1.35862,4.01897,1.32021,0.00195223,0.00195223,0.00195223
4,48.7849,1.35292,2.61311,1.26174,0.02698,0.95105,0.0274,0.01656,1.28111,41.7665,1.36322,0.0019406,0.0019406,0.0019406
5,60.5734,1.42033,3.03225,1.40637,0.00025,0.04196,1e-05,1e-05,1.25223,114.166,1.30294,0.0019208,0.0019208,0.0019208
6,72.2866,1.23678,2.11816,1.2318,0.03817,1,0.03832,0.02236,1.20384,36.8031,1.18925,0.001901,0.001901,0.001901
7,84.1168,1.20109,1.56034,1.16292,0.16791,0.87413,0.1659,0.11132,1.19054,7.96889,1.23014,0.0018812,0.0018812,0.0018812
8,95.81,1.28959,1.29378,1.25137,0.15486,0.76224,0.15675,0.11588,1.07411,3.54702,1.16603,0.0018614,0.0018614,0.0018614
9,107.559,1.27793,1.26511,1.22799,0.04199,0.33566,0.02796,0.01706,1.6551,4.00529,1.47781,0.0018416,0.0018416,0.0018416
10,119.208,1.22092,1.02201,1.17654,0.34503,0.47552,0.27794,0.19383,1.29617,1.94955,1.27021,0.0018218,0.0018218,0.0018218
11,130.965,1.1936,1.0731,1.19051,0.53866,0.68531,0.55399,0.41495,0.99587,2.2341,1.16388,0.001802,0.001802,0.001802
12,142.641,1.1327,0.96374,1.12386,0.89345,1,0.95468,0.77018,0.90437,0.78039,1.09838,0.0017822,0.0017822,0.0017822
13,154.477,0.99043,0.84209,1.10412,0.88671,0.99301,0.9605,0.79864,0.77506,0.7399,1.00878,0.0017624,0.0017624,0.0017624
14,166.651,1.09876,0.92909,1.18951,0.88625,0.99301,0.95148,0.66885,1.16358,0.77837,1.23747,0.0017426,0.0017426,0.0017426
15,178.463,1.0549,0.76614,1.0951,0.92809,0.99287,0.96384,0.76863,0.84188,0.6447,1.06353,0.0017228,0.0017228,0.0017228
16,190.042,0.98101,0.78752,1.02397,0.89756,0.98601,0.95993,0.70832,1.03393,0.73785,1.1653,0.001703,0.001703,0.001703
17,202.065,1.25424,0.94546,1.22394,0.92713,0.98601,0.96114,0.75925,0.9274,0.67376,1.11237,0.0016832,0.0016832,0.0016832
18,214.017,1.18278,0.86513,1.22422,0.89319,1,0.95534,0.78278,0.93335,0.6626,1.04598,0.0016634,0.0016634,0.0016634
19,225.653,0.98237,0.8495,1.01866,0.91697,0.99301,0.96803,0.76257,0.91531,0.78449,1.09014,0.0016436,0.0016436,0.0016436
20,237.432,0.94142,0.77449,1.05451,0.89519,0.99301,0.95848,0.78345,0.79814,0.68981,1.03287,0.0016238,0.0016238,0.0016238
21,249.141,0.87237,0.72655,1.00151,0.91621,0.98601,0.9601,0.80012,0.66488,0.61946,0.976,0.001604,0.001604,0.001604
22,261.058,0.82618,0.698,0.99792,0.92398,0.99301,0.96266,0.80506,0.66685,0.60821,0.94501,0.0015842,0.0015842,0.0015842
23,273.025,0.97775,0.78517,1.03118,0.92634,0.99301,0.94453,0.78846,0.75366,0.63199,0.98253,0.0015644,0.0015644,0.0015644
24,284.699,0.77111,0.62618,0.93684,0.92707,0.98601,0.94934,0.78749,0.71781,0.57868,0.96747,0.0015446,0.0015446,0.0015446
25,296.428,0.80201,0.72527,0.96964,0.92708,0.99301,0.9586,0.82236,0.62105,0.57296,0.93528,0.0015248,0.0015248,0.0015248
26,308.484,0.72939,0.61337,0.90699,0.92703,0.99301,0.95312,0.8209,0.6049,0.5689,0.91569,0.001505,0.001505,0.001505
27,320.52,0.78876,0.64367,0.96464,0.9324,0.99301,0.96581,0.81788,0.65872,0.56891,0.923,0.0014852,0.0014852,0.0014852
