epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29059,2.10892,10.333,1.77403,0.01366,0.07143,0.0101,0.0065,1.52861,7.89008,1.52359,6e-05,6e-05,6e-05
2,7.14216,1.72036,8.22408,1.44611,0.51275,0.75254,0.45776,0.23728,1.54862,6.17815,1.44682,0.000138614,0.000138614,0.000138614
3,9.85299,1.64638,8.50733,1.51443,0.50281,0.5,0.43305,0.22358,1.51684,6.12837,1.46321,0.000215644,0.000215644,0.000215644
4,12.1926,1.69591,4.42282,1.3328,0.43957,0.85714,0.52043,0.29238,1.74151,7.56696,1.66463,0.00029109,0.00029109,0.00029109
5,14.6428,1.48344,5.61648,1.48743,0.46205,0.5,0.54749,0.27798,1.83508,6.67885,1.68186,0.000364952,0.000364952,0.000364952
6,16.9235,1.26023,3.69165,1.22373,0.35864,1,0.48821,0.24987,1.74523,5.87344,1.46907,0.00043723,0.00043723,0.00043723
7,19.2426,1.39571,3.62518,1.16039,0.35864,1,0.48821,0.24987,1.74523,5.87344,1.46907,0.000507924,0.000507924,0.000507924
8,21.5073,1.43856,3.23647,1.21133,0.33792,0.78571,0.35528,0.25988,1.14393,4.9919,1.18621,0.000577034,0.000577034,0.000577034
9,23.8247,1.20542,3.15802,1.29446,0.24738,0.64286,0.23417,0.1723,1.09629,4.47025,1.13618,0.00064456,0.00064456,0.00064456
10,26.1468,1.14996,2.53778,1.1012,0.24738,0.64286,0.23417,0.1723,1.09629,4.47025,1.13618,0.000710502,0.000710502,0.000710502
11,28.5227,1.3611,2.84052,1.31144,0.06474,0.57143,0.06417,0.0479,1.11322,4.93945,1.15179,0.00077486,0.00077486,0.00077486
12,30.7754,1.20833,2.76744,1.36248,0.06474,0.57143,0.06417,0.0479,1.11322,4.93945,1.15179,0.000837634,0.000837634,0.000837634
13,33.092,1.24136,2.78526,1.16571,0.12094,0.92857,0.12337,0.07065,1.38376,5.81959,1.33889,0.000898824,0.000898824,0.000898824
14,35.3696,1.52187,3.7767,1.35254,0.12094,0.92857,0.12337,0.07065,1.38376,5.81959,1.33889,0.00095843,0.00095843,0.00095843
15,37.6525,1.15905,3.48621,1.13675,0.02692,0.42857,0.03652,0.01928,1.5176,12.1607,1.45,0.00101645,0.00101645,0.00101645
16,39.8417,1.56688,3.36867,1.40735,0.02692,0.42857,0.03652,0.01928,1.5176,12.1607,1.45,0.00107289,0.00107289,0.00107289
17,42.112,1.79699,4.1177,1.41016,0.02692,0.42857,0.03652,0.01928,1.5176,12.1607,1.45,0.00112774,0.00112774,0.00112774
18,44.4064,1.6096,2.65284,1.3407,0.03842,0.92857,0.04921,0.0344,1.03215,8.1196,1.10843,0.00118101,0.00118101,0.00118101
19,46.6092,1.37896,2.34047,1.2664,0.03842,0.92857,0.04921,0.0344,1.03215,8.1196,1.10843,0.0012327,0.0012327,0.0012327
20,48.9432,1.31618,2.1444,1.16317,0.03842,0.92857,0.04921,0.0344,1.03215,8.1196,1.10843,0.0012828,0.0012828,0.0012828
21,51.2908,1.25846,2.06245,1.17137,0.03842,0.92857,0.04921,0.0344,1.03215,8.1196,1.10843,0.00133132,0.00133132,0.00133132
22,53.5867,1.02051,2.03323,1.08277,0.29327,0.85714,0.30049,0.21333,1.10652,2.8024,1.19081,0.00137825,0.00137825,0.00137825
23,55.8268,1.25322,3.56565,1.35922,0.29327,0.85714,0.30049,0.21333,1.10652,2.8024,1.19081,0.0014236,0.0014236,0.0014236
24,58.262,1.27629,3.2624,1.30818,0.29327,0.85714,0.30049,0.21333,1.10652,2.8024,1.19081,0.00146737,0.00146737,0.00146737
25,60.5431,1.10139,2.88016,1.11532,0.29327,0.85714,0.30049,0.21333,1.10652,2.8024,1.19081,0.00150955,0.00150955,0.00150955
26,62.8554,1.23207,2.89215,1.20113,0.00333,1,0.04072,0.02811,1.18427,3.57455,1.23698,0.001505,0.001505,0.001505
27,65.1105,1.16317,2.08596,1.10811,0.00333,1,0.04072,0.02811,1.18427,3.57455,1.23698,0.0014852,0.0014852,0.0014852
28,67.3425,1.08118,2.15995,1.10912,0.00333,1,0.04072,0.02811,1.18427,3.57455,1.23698,0.0014654,0.0014654,0.0014654
29,69.5578,1.16336,2.29138,1.20146,0.00333,1,0.04072,0.02811,1.18427,3.57455,1.23698,0.0014456,0.0014456,0.0014456
30,71.8457,1.14785,1.90017,1.16996,0.45413,0.89199,0.57076,0.42007,1.03611,1.93644,1.15926,0.0014258,0.0014258,0.0014258
31,74.2714,1.18518,1.61429,1.16214,0.45413,0.89199,0.57076,0.42007,1.03611,1.93644,1.15926,0.001406,0.001406,0.001406
32,76.7014,1.04311,1.43619,1.16841,0.45413,0.89199,0.57076,0.42007,1.03611,1.93644,1.15926,0.0013862,0.0013862,0.0013862
33,79.2177,1.12361,1.66189,1.16548,0.45413,0.89199,0.57076,0.42007,1.03611,1.93644,1.15926,0.0013664,0.0013664,0.0013664
34,81.6192,0.9966,1.65169,1.09853,0.45828,0.92857,0.575,0.36957,1.26545,1.93289,1.23165,0.0013466,0.0013466,0.0013466
35,83.8342,1.50666,1.80432,1.32272,0.45828,0.92857,0.575,0.36957,1.26545,1.93289,1.23165,0.0013268,0.0013268,0.0013268
36,86.172,1.26861,1.66243,1.47053,0.45828,0.92857,0.575,0.36957,1.26545,1.93289,1.23165,0.001307,0.001307,0.001307
37,88.4432,1.19823,1.69108,1.25088,0.45828,0.92857,0.575,0.36957,1.26545,1.93289,1.23165,0.0012872,0.0012872,0.0012872
38,90.755,1.14843,1.61582,1.15621,0.46056,1,0.5339,0.37463,1.00005,1.67151,1.0634,0.0012674,0.0012674,0.0012674
39,92.9969,1.33322,1.68507,1.31728,0.46056,1,0.5339,0.37463,1.00005,1.67151,1.0634,0.0012476,0.0012476,0.0012476
40,95.2323,1.40287,1.66444,1.57014,0.46056,1,0.5339,0.37463,1.00005,1.67151,1.0634,0.0012278,0.0012278,0.0012278
41,97.541,1.19916,1.30814,1.04033,0.46056,1,0.5339,0.37463,1.00005,1.67151,1.0634,0.001208,0.001208,0.001208
42,99.7442,1.0904,1.35152,1.05042,0.49104,0.92857,0.5399,0.42073,0.92141,1.54333,1.0099,0.0011882,0.0011882,0.0011882
43,102.503,1.04754,1.34923,1.04305,0.49104,0.92857,0.5399,0.42073,0.92141,1.54333,1.0099,0.0011684,0.0011684,0.0011684
44,104.969,1.29182,1.39572,1.13754,0.49104,0.92857,0.5399,0.42073,0.92141,1.54333,1.0099,0.0011486,0.0011486,0.0011486
45,107.499,1.10537,1.42326,1.15295,0.49104,0.92857,0.5399,0.42073,0.92141,1.54333,1.0099,0.0011288,0.0011288,0.0011288
46,109.948,1.1672,1.42382,1.09809,0.49392,0.92857,0.52298,0.36924,1.065,1.40728,1.12079,0.001109,0.001109,0.001109
47,112.21,1.20351,1.28868,1.15833,0.49392,0.92857,0.52298,0.36924,1.065,1.40728,1.12079,0.0010892,0.0010892,0.0010892
48,114.476,1.21923,1.4809,1.08274,0.49392,0.92857,0.52298,0.36924,1.065,1.40728,1.12079,0.0010694,0.0010694,0.0010694
49,116.719,1.21906,1.45656,1.2615,0.49392,0.92857,0.52298,0.36924,1.065,1.40728,1.12079,0.0010496,0.0010496,0.0010496
50,118.993,1.1171,1.2993,1.07799,0.50122,0.92857,0.54875,0.37538,1.07703,1.40782,1.15111,0.0010298,0.0010298,0.0010298
51,121.173,1.08799,1.45154,1.16647,0.50122,0.92857,0.54875,0.37538,1.07703,1.40782,1.15111,0.00101,0.00101,0.00101
52,123.454,1.16853,1.27435,1.07288,0.50122,0.92857,0.54875,0.37538,1.07703,1.40782,1.15111,0.0009902,0.0009902,0.0009902
53,125.892,1.16582,1.50736,1.14243,0.50122,0.92857,0.54875,0.37538,1.07703,1.40782,1.15111,0.0009704,0.0009704,0.0009704
54,128.131,1.10214,1.36461,1.08136,0.49649,0.92857,0.58528,0.43325,0.90408,1.25758,1.01439,0.0009506,0.0009506,0.0009506
55,130.511,1.19638,1.49828,1.21372,0.49649,0.92857,0.58528,0.43325,0.90408,1.25758,1.01439,0.0009308,0.0009308,0.0009308
56,132.921,1.03816,1.26666,1.03084,0.49649,0.92857,0.58528,0.43325,0.90408,1.25758,1.01439,0.000911,0.000911,0.000911
57,135.341,1.09244,1.36387,1.10738,0.49649,0.92857,0.58528,0.43325,0.90408,1.25758,1.01439,0.0008912,0.0008912,0.0008912
58,137.773,0.8336,1.20554,1.05179,0.49402,0.92857,0.56847,0.43696,0.77562,1.18432,0.95201,0.0008714,0.0008714,0.0008714
59,140.173,0.95757,1.30129,1.05063,0.49402,0.92857,0.56847,0.43696,0.77562,1.18432,0.95201,0.0008516,0.0008516,0.0008516
60,142.588,0.87438,1.15216,0.93113,0.49402,0.92857,0.56847,0.43696,0.77562,1.18432,0.95201,0.0008318,0.0008318,0.0008318
61,144.93,0.83245,1.27953,0.99222,0.49402,0.92857,0.56847,0.43696,0.77562,1.18432,0.95201,0.000812,0.000812,0.000812
62,147.328,1.00102,1.19724,1.02932,0.48421,0.92857,0.59715,0.4977,0.70628,1.19567,0.92772,0.0007922,0.0007922,0.0007922
63,149.729,0.94923,1.27471,0.97645,0.48421,0.92857,0.59715,0.4977,0.70628,1.19567,0.92772,0.0007724,0.0007724,0.0007724
64,152.586,0.85351,1.19732,1.00262,0.48421,0.92857,0.59715,0.4977,0.70628,1.19567,0.92772,0.0007526,0.0007526,0.0007526
65,154.966,0.90361,1.18311,1.061,0.48421,0.92857,0.59715,0.4977,0.70628,1.19567,0.92772,0.0007328,0.0007328,0.0007328
66,157.3,1.08253,1.32467,1.08939,0.48208,1,0.61542,0.5373,0.60721,1.15393,0.88713,0.000713,0.000713,0.000713
67,159.691,0.889,1.2057,1.04146,0.48208,1,0.61542,0.5373,0.60721,1.15393,0.88713,0.0006932,0.0006932,0.0006932
68,162.133,0.82648,1.2412,1.01629,0.48208,1,0.61542,0.5373,0.60721,1.15393,0.88713,0.0006734,0.0006734,0.0006734
69,164.489,1.09497,1.35685,1.16662,0.48208,1,0.61542,0.5373,0.60721,1.15393,0.88713,0.0006536,0.0006536,0.0006536
70,166.837,0.98131,1.25477,1.11046,0.49357,0.92857,0.68763,0.57011,0.69761,1.13311,0.90317,0.0006338,0.0006338,0.0006338
