epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.33947,1.47922,6.34748,1.39192,0.99148,0.83333,0.90041,0.59756,1.28836,3.49882,1.32656,6e-05,6e-05,6e-05
2,4.81355,0.96679,3.87038,1.16621,0.99524,0.83333,0.84636,0.6736,0.77192,3.85705,1.1054,0.000138614,0.000138614,0.000138614
3,7.17592,0.83764,2.98066,1.09136,0.99497,0.83333,0.8412,0.64339,0.89459,4.57075,1.06946,0.000215644,0.000215644,0.000215644
4,9.52184,0.78148,2.16856,1.06641,0.9961,0.83333,0.84191,0.58761,1.13463,3.65024,1.4142,0.00029109,0.00029109,0.00029109
5,11.9121,0.75587,1.92236,1.07028,0.99592,0.83333,0.85698,0.71539,0.74094,3.86339,1.06779,0.000364952,0.000364952,0.000364952
6,14.44,0.86304,2.04321,1.08148,0.86433,0.94444,0.95684,0.79061,0.74614,3.91019,1.04007,0.00043723,0.00043723,0.00043723
7,16.9076,0.86516,2.25978,1.07458,0.86433,0.94444,0.95684,0.79061,0.74614,3.91019,1.04007,0.000507924,0.000507924,0.000507924
8,19.3826,0.83075,1.45146,1.06494,0.76571,0.9084,0.94297,0.78171,0.72457,3.71796,1.00547,0.000577034,0.000577034,0.000577034
9,21.6487,0.84753,1.71344,1.1431,0.99162,0.83333,0.95064,0.70345,0.83481,2.83134,1.10459,0.00064456,0.00064456,0.00064456
10,23.8736,0.95562,1.8287,1.1802,0.99162,0.83333,0.95064,0.70345,0.83481,2.83134,1.10459,0.000710502,0.000710502,0.000710502
11,26.0852,1.08854,2.15503,1.2501,0.09442,0.5,0.12486,0.06418,1.0453,4.36474,1.21137,0.00077486,0.00077486,0.00077486
12,28.2894,1.04404,2.38548,1.16448,0.09442,0.5,0.12486,0.06418,1.0453,4.36474,1.21137,0.000837634,0.000837634,0.000837634
