epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70791,1.99918,4.44861,1.4647,0.00143,0.42857,0.00082,0.00016,1.71873,4.82006,1.56868,0,0,0
2,4.19807,1.99738,4.10497,1.46868,0.00143,0.42857,0.00084,0.00018,1.68188,4.75841,1.53669,1.901e-05,1.901e-05,1.901e-05
3,5.62036,2.08635,4.49502,1.53738,0.0019,0.57143,0.00144,0.00036,1.57782,4.71376,1.44733,3.604e-05,3.604e-05,3.604e-05
4,7.05998,1.8755,4.31327,1.43334,0.00286,0.85714,0.00322,0.00075,1.49047,4.59426,1.37405,5.109e-05,5.109e-05,5.109e-05
5,8.53089,1.75339,4.15444,1.43567,0.00333,1,0.00472,0.00177,1.46855,4.40072,1.27433,6.416e-05,6.416e-05,6.416e-05
6,10.0082,1.74118,4.08113,1.28687,0.0031,0.92857,0.00484,0.00254,1.49398,4.22696,1.23837,7.525e-05,7.525e-05,7.525e-05
7,11.4243,1.60976,3.97009,1.23774,0.00333,1,0.00674,0.00336,1.4109,4.08663,1.14941,8.436e-05,8.436e-05,8.436e-05
8,12.9711,1.57188,3.66369,1.19154,0.00333,1,0.00713,0.00381,1.37995,3.99251,1.10136,9.149e-05,9.149e-05,9.149e-05
9,14.4278,1.35176,3.96663,1.1455,0.00333,1,0.00792,0.00425,1.29537,3.96091,1.06478,9.664e-05,9.664e-05,9.664e-05
10,15.8897,1.24191,3.57861,1.0983,0.00333,1,0.00886,0.0048,1.2882,3.93848,1.04294,9.981e-05,9.981e-05,9.981e-05
11,17.3192,1.28203,3.90847,1.19399,0.0031,0.92857,0.00818,0.00501,1.27033,3.9236,1.02765,0.000101,0.000101,0.000101
12,18.7758,1.27873,3.80485,1.14744,0.0031,0.92857,0.00863,0.00526,1.22558,3.94634,1.0055,0.00010021,0.00010021,0.00010021
13,20.2391,1.25675,3.79523,1.11717,0.0031,0.92857,0.00879,0.00518,1.15338,3.94598,0.98475,9.744e-05,9.744e-05,9.744e-05
14,21.6911,1.17408,3.72281,1.12426,0.0031,0.92857,0.00892,0.00544,1.0913,3.94744,0.98097,9.269e-05,9.269e-05,9.269e-05
15,23.1404,1.15118,3.54887,1.18161,0.0031,0.92857,0.00896,0.0061,1.07822,3.93194,0.97676,8.596e-05,8.596e-05,8.596e-05
16,24.5817,1.13856,3.37788,1.10003,0.0031,0.92857,0.00891,0.00625,1.05755,3.92282,0.96935,7.725e-05,7.725e-05,7.725e-05
17,26.0654,1.29871,3.21114,1.32482,0.0031,0.92857,0.00874,0.00613,1.03745,3.92101,0.96581,6.656e-05,6.656e-05,6.656e-05
18,27.5157,1.23837,3.1882,1.20227,0.0031,0.92857,0.00874,0.00613,1.03745,3.92101,0.96581,5.389e-05,5.389e-05,5.389e-05
19,28.9813,1.17483,3.1699,1.19235,0.0031,0.92857,0.00882,0.00628,1.02517,3.91501,0.96223,3.924e-05,3.924e-05,3.924e-05
20,30.3459,1.17848,2.83354,1.23966,0.0031,0.92857,0.00882,0.00628,1.02517,3.91501,0.96223,2.261e-05,2.261e-05,2.261e-05
